filename,predicted_score
audio_10.wav,2.8
audio_1012.wav,2.1
audio_1013.wav,1.9
audio_1019.wav,1.8
audio_1022.wav,3.2
audio_1026.wav,2.3
audio_103.wav,2.8
audio_1033.wav,3.0
audio_1035.wav,2.7
audio_1048.wav,1.7
audio_1054.wav,3.0
audio_1058.wav,4.4
audio_1061.wav,3.5
audio_1068.wav,2.5
audio_107.wav,2.4
audio_1081.wav,1.9
audio_1089.wav,3.6
audio_109.wav,3.9
audio_1091.wav,3.6
audio_1101.wav,2.6
audio_1115.wav,2.2
audio_1116.wav,1.5
audio_1122.wav,1.3
audio_1123.wav,2.0
audio_1124.wav,1.7
audio_113.wav,3.7
audio_1138.wav,2.6
audio_1159.wav,2.6
audio_1166.wav,2.9
audio_1169.wav,2.5
audio_1173.wav,1.6
audio_1176.wav,3.3
audio_1178.wav,2.6
audio_1179.wav,5.2
audio_1183.wav,2.2
audio_1190.wav,1.4
audio_1193.wav,2.9
audio_1195.wav,3.0
audio_1205.wav,2.0
audio_1214.wav,4.3
audio_1215.wav,3.0
audio_1217.wav,2.3
audio_1240.wav,2.7
audio_1242.wav,3.8
audio_1243.wav,1.0
audio_1256.wav,2.1
audio_1267.wav,3.0
audio_1275.wav,3.8
audio_1278.wav,2.2
audio_1280.wav,1.8
audio_1286.wav,2.4
audio_1289.wav,3.2
audio_1291.wav,2.5
audio_1292.wav,2.8
audio_1293.wav,2.1
audio_1297.wav,2.7
audio_1311.wav,3.4
audio_1315.wav,1.7
audio_1317.wav,1.7
audio_1321.wav,3.7
audio_1323.wav,2.6
audio_135.wav,2.9
audio_137.wav,2.5
audio_138.wav,2.4
audio_148.wav,2.5
audio_151.wav,2.5
audio_153.wav,3.7
audio_158.wav,2.4
audio_159.wav,3.7
audio_165.wav,3.2
audio_172.wav,3.0
audio_177.wav,2.8
audio_179.wav,2.9
audio_180.wav,2.0
audio_19.wav,2.3
audio_196.wav,1.8
audio_198.wav,1.6
audio_20.wav,1.6
audio_21.wav,1.7
audio_217.wav,2.6
audio_218.wav,3.2
audio_221.wav,4.7
audio_225.wav,3.1
audio_235.wav,3.1
audio_261.wav,2.4
audio_263.wav,3.6
audio_274.wav,2.9
audio_276.wav,2.9
audio_281.wav,2.6
audio_282.wav,3.4
audio_285.wav,3.1
audio_286.wav,3.3
audio_287.wav,2.6
audio_29.wav,3.4
audio_290.wav,2.9
audio_300.wav,3.2
audio_306.wav,3.2
audio_308.wav,2.8
audio_320.wav,2.4
audio_321.wav,3.2
audio_322.wav,2.1
audio_330.wav,3.6
audio_34.wav,1.8
audio_348.wav,2.6
audio_360.wav,2.3
audio_379.wav,2.9
audio_386.wav,2.9
audio_388.wav,2.7
audio_391.wav,1.5
audio_394.wav,4.3
audio_4.wav,3.6
audio_401.wav,1.8
audio_408.wav,2.8
audio_422.wav,3.2
audio_428.wav,3.9
audio_433.wav,1.8
audio_435.wav,3.4
audio_437.wav,2.8
audio_448.wav,3.7
audio_48.wav,3.0
audio_487.wav,2.7
audio_488.wav,2.6
audio_499.wav,2.2
audio_500.wav,3.9
audio_512.wav,3.6
audio_519.wav,3.4
audio_521.wav,4.0
audio_525.wav,3.0
audio_529.wav,3.4
audio_540.wav,2.0
audio_541.wav,1.3
audio_543.wav,1.7
audio_545.wav,2.4
audio_546.wav,3.2
audio_550.wav,3.0
audio_554.wav,3.9
audio_556.wav,2.4
audio_564.wav,2.3
audio_569.wav,2.4
audio_572.wav,1.2
audio_580.wav,3.5
audio_599.wav,2.5
audio_604.wav,3.2
audio_633.wav,3.1
audio_641.wav,1.1
audio_644.wav,2.7
audio_656.wav,3.3
audio_66.wav,2.9
audio_662.wav,2.3
audio_665.wav,2.4
audio_676.wav,2.8
audio_68.wav,3.4
audio_683.wav,3.0
audio_690.wav,3.3
audio_692.wav,3.6
audio_698.wav,1.8
audio_702.wav,2.7
audio_706.wav,1.6
audio_709.wav,2.6
audio_713.wav,1.7
audio_719.wav,1.4
audio_72.wav,3.0
audio_726.wav,2.3
audio_733.wav,2.0
audio_735.wav,1.7
audio_746.wav,2.3
audio_75.wav,2.5
audio_759.wav,2.6
audio_762.wav,2.0
audio_767.wav,2.4
audio_770.wav,1.8
audio_800.wav,1.7
audio_805.wav,2.3
audio_811.wav,3.4
audio_820.wav,3.6
audio_831.wav,3.4
audio_841.wav,3.8
audio_857.wav,4.2
audio_858.wav,2.0
audio_882.wav,2.1
audio_884.wav,2.9
audio_885.wav,1.3
audio_888.wav,1.5
audio_89.wav,2.4
audio_897.wav,3.4
audio_908.wav,2.6
audio_920.wav,3.3
audio_922.wav,2.8
audio_932.wav,3.3
audio_949.wav,1.7
audio_95.wav,3.0
audio_958.wav,3.3
audio_959.wav,3.1
audio_971.wav,3.8
audio_998.wav,2.7
